,Title,Author,Issue,Type ,Description,Date
1880,Teaching Legal Research to Today's Digital Natives,"Meyer, Kurt",Issue 4,article,,2017
1881,Educating Lawyers: A Law Firm Approach to Effective Training,"Nash, Maribel",Issue 4,article,,2017
1882,Teaching Legal Technology,"Broussard, Camille",Issue 4,article,,2017
1883,Teaching Legal Technology,"Brown, Kathleen",Issue 4,article,,2017
1884,Teaching Legal Technology,"Cordova, Daniel",Issue 4,article,,2017
1885,Teaching Legal Technology,"Mauldin, Sarah K. C.",Issue 4,article,,2017
1886,Enhancing Instruction: Creating High-Quality Interactive Videos,"Altmeyer, Susan M.",Issue 4,article,,2017
1887,Enhancing Instruction: Creating High-Quality Interactive Videos,"Fang, Wei",Issue 4,article,,2017
1888,Ask a Director: The Education Gap,"Nye, Eva-Marie",Issue 4,article,Leadership,2017
1889,Pioneering Legal Research,"Schneider, Charlotte D.",Issue 4,article,Technology,2017
1890,The Library Book Thief,"Charles, Patrick",Issue 4,article,Education,2017
1891,Reference Desk: Training Day,"Catterall, Susan",Issue 4,article,Business Edge,2017
1892,Technological Advancements: Innovations Are Just around the Corner,"Niedringhaus, Kristina L.",Issue 5,notes,Editor's Note,2017
1893,The Digital World: Evolving with Technology,"Wheeler, Ronald E. Jr.",Issue 5,comments,President's Message ,2017
1894,Artificial Intelligence Legal Research and Law Librarians,"Chen, Sherry Xin",Issue 5,article,,2017
1895,Artificial Intelligence Legal Research and Law Librarians,"Neary, Mary Ann",Issue 5,article,,2017
1896,iSpy: Threats to Individual and Institutional Privacy in the Digital World,"Andrews, Lori B.",Issue 5,article,,2017
1897,Creating Engaging Digital Media to Promote Library Services,"Butula, Beverly G.",Issue 5,article,,2017
1898,Creating Engaging Digital Media to Promote Library Services,"Cannan, John",Issue 5,article,,2017
1899,Technology and the Classroom: Bringing Twenty-First Century Technologies to the Law Library,"Fox, Darin K.",Issue 5,article,,2017
1900,Ask a Director: Technology Hot Buttons,"Bailey, Scott D.",Issue 5,article,Leadership,2017
1901,Accessing the Practical Obscurity of the Green Screen Terminal,"Johnson, Liz McCurry",Issue 5,article,Advocacy,2017
1902,Roundtable Discussions and the Interview Process: Benefits and Best Practices,"Cosby, Michelle",Issue 5,article,Education,2017
1903,Vendor Voice: Pioneer in the Legal Information Product Field,"Pfeifer, Jeff",Issue 5,article,Business Edge,2017
1904,Reference Desk: Keeping up with Technology,"Catterall, Susan",Issue 5,article,Business Edge,2017
1905,"Discover, Learn, and Share","Niedringhaus, Kristina L.",Issue 6,notes,Editor's Note,2017
1906,Change for the Better,"Wheeler, Ronald E. Jr.",Issue 6,comments,President's Message,2017
1907,Spotting Fake News: Best Practices for Authenticating Trustworthy Sources,"Zook, Genevieve",Issue 6,article,,2017
1908,Building a Repository Metrics Program to Enhance the Value of Library Services,"White, Hollie C.",Issue 6,article,,2017
1909,Best Practices for Using Microsoft Outlook,"Dean, Randy",Issue 6,article,,2017
1910,Serving Trans* Patrons in Public Law Libraries,"Jennings, Bethany Mills",Issue 6,article,,2017
1911,Ask a Director: New Best Practices,"Frey, Charles H.",Issue 6,article,Leadership,2017
1912,Ask a Director: New Best Practices,"Friend, Shawn",Issue 6,article,Leadership,2017
1913,,"Miller, Katrina M.",Issue 6,article,Leadership: Award Season,2017
1914,Collection Building in the Twenty-First Century,"Bowersox, Christine",Issue 6,article,Education,2017
1915,Collection Building in the Twenty-First Century,"Lewis, Sheri H.",Issue 6,article,Education,2017
1916,Getting to Know Edgar,"Haendler, David M.",Issue 6,article,Technology,2017
1917,Competitive Intelligence Planning,"Catterall, Susan",Issue 6,notes,Business Edge,2017
1918,Evolution or Revolution: The Transformation of Law,"Niedringhaus, Kristina L.",Issue 1,notes,Editor's Note,2017
1919,"Accepting the Challenge: Applying Knowledge, Taking Action","Lambert, Greg",Issue 1,comments,President's Message,2017
1920,Transforming Customer Service in the Post-Digital Law Library,"Odenwald, Dan",Issue 1,article,,2017
1921,Read/Write: Artificial Intelligence Libraries,"Walters, Ed",Issue 1,article,,2017
1922,New Attitude: Adapting to the Changing Legal Landscape,"Smith, Patricia A.",Issue 1,article,,2017
1923,Legal Workplaces of the Future,"Martin, Steven J.",Issue 1,article,,2017
1924,Leader Profile: Putting Knowledge to Action,"Lambert, Greg",Issue 1,comments,Leadership,2017
1925,Teaching Future Tech,"Gleave, Teresa",Issue 1,comments,Ask a Director,2017
1926,Teaching Future Tech,"Iaconeta, Christine",Issue 1,comments,Ask a Director,2017
1927,Blockchain 3.0 or Web 3.No,"Ginsberg, Debbie",Issue 1,article,Technology,2017
1928,Every Algorithm Has a POV,"Mart, Susan Nevelow",Issue 1,article,Technology,2017
1929,Thinking outside the Library Walls: Reaching out to Our Patrons,"Whiteman, Michael",Issue 1,article,Education,2017
1930,Thinking outside the Library Walls: Reaching out to Our Patrons,"Baldree, Angela T.",Issue 1,article,Education,2017
1931,Thinking outside the Library Walls: Reaching out to Our Patrons,"Hennies, Tim",Issue 1,article,Education,2017
1932,Reference Desk: Showing Our Value,"Catterall, Susan",Issue 1,article,Business Edge,2017
1933,Leadership and Learning: Asking the Yirka Question,"Niedringhaus, Kristina L.",Issue 2,notes,Editor's Note,2017
1934,Blazing New Trails: Beyond Traditional Boundaries,"Lambert, Greg",Issue 2,comments,President's Message,2017
1935,Allstar Benchmarking: How Collaborating on Collecting and Sharing Data Is a Win-Win,"Panella, Jessica C.",Issue 2,article,,2017
1936,Allstar Benchmarking: How Collaborating on Collecting and Sharing Data Is a Win-Win,"Iaconeta, Christine",Issue 2,article,,2017
1937,Allstar Benchmarking: How Collaborating on Collecting and Sharing Data Is a Win-Win,"Miguel-Stearns, Teresa M.",Issue 2,article,,2017
1938,Empowering and Inspiring Law Library Managers to Lead,"Reeve, Allison C.",Issue 2,article,,2017
1939,Finding Relevance in an Ever-Evolving Legal World,"Hallows, Kristen M.",Issue 2,article,,2017
1940,Creating the DC Affordable Law Firm,"Lipscomb, Pamela",Issue 2,article,,2017
1941,Leader Profile: Following Her Passion,"Warren, Gail",Issue 2,comments,Leadership,2017
1942,Defining Leadership,"Andeen, Sarah R.",Issue 2,comments,Ask a Director,2017
1943,Defining Leadership,"Estes, Mark E.",Issue 2,comments,Ask a Director,2017
1944,"The Egovernment Data Ship Has Set Sail: Law Librarians, Climb Aboard","Russell, Anna",Issue 2,article,Advocacy,2017
1945,Analytics and Insights: It's All about Asking the Right Questions,"O'Grady, Jean P.",Issue 2,article,Technology,2017
1946,Providing Disabled Patrons with Access to Legal Resources,"Knight, Dolly M.",Issue 2,article,Education,2017
1947,Reference Desk: A Change in Perspective,"McCurry Johnson, Liz",Issue 2,article,Business Edge,2017
1948,Reference Desk: A Change in Perspective,"Knight, Dolly",Issue 2,article,Business Edge,2017
1949,Reference Desk: A Change in Perspective,"Nash, Maribel",Issue 2,article,Business Edge,2017
1950,Claim Your Future,"Niedringhaus, Kristina L.",Issue 3,notes,Editor's Note,2017
1951,Management Musts,"Lambert, Greg",Issue 3,comments,President's Message,2017
1952,Securing Professional Development: Getting to Yes,"Osborne, Caroline",Issue 3,article,,2017
1953,Securing Professional Development: Getting to Yes,"Watson, Carol A.",Issue 3,article,,2017
1954,Securing Professional Development: Getting to Yes,"Eaton, Amy",Issue 3,article,,2017
1955,The Journey Starts Here: Finding Your Path to Career Fulfillment,"Nayyer, Kim",Issue 3,article,,2017
1956,Eight Ways Law Librarians Can Jump-Start Productivity,"Mostad-Jensen, Anne",Issue 3,article,,2017
1957,Eight Ways Law Librarians Can Jump-Start Productivity,"McClure, David",Issue 3,article,,2017
1958,Job Interview Goals: Perspectives from Both Sides of the Table,"Agno, Kathleen",Issue 3,article,,2017
1959,Ask a Director: Reporting Accomplishments,"Osborne, Caroline",Issue 3,notes,Leadership,2017
1960,Ask a Director: Reporting Accomplishments,"Selby, Courtney L.",Issue 3,notes,Leadership,2017
1961,Coding with the Building Blocks of the Web,"Szydlowski, Nick",Issue 3,notes,Technology,2017
1962,Chinese and American Forum on Legal Information and Law Libraries: Highlights from Hangzhou,"Han, Ning",Issue 3,notes,Education,2017
1963,Chinese and American Forum on Legal Information and Law Libraries: Highlights from Hangzhou,"Ma, Evelyn",Issue 3,notes,Education,2017
1964,Chinese and American Forum on Legal Information and Law Libraries: Highlights from Hangzhou,"Luo, Wei",Issue 3,notes,Education,2017
1965,Finding Time for Training,"Johnson, Liz McCurry",Issue 3,notes,Reference Desk,2017
1966,Finding Time for Training,"Knight, Dolly",Issue 3,notes,Reference Desk,2017
1967,Finding Time for Training,"Nash, Maribel",Issue 3,notes,Reference Desk,2017
1968,Knowledge & Competency: Closing the Legal Technology Gap,"Niedringhaus, Kristina L.",Issue 4,notes,Editor's Note,2017
1969,Professional Development: Turning Knowledge into Action,"Lambert, Greg",Issue 4,comments,President's Message,2017
1970,Real-World Legal Technology Training,"Ginsberg, Debbie",Issue 4,article,,2017
1971,Real-World Legal Technology Training,"Spencer, Michelle",Issue 4,article,,2017
1972,Improving Student Outcomes in Online Learning,"Trammell, Rebecca S.",Issue 4,article,,2017
1973,Enhancing the Online Learning Environment,"Marks, Taryn",Issue 4,article,,2017
1974,Enhancing the Online Learning Environment,"Purcell, Rachel",Issue 4,article,,2017
1975,Two Pedagogies in Search of Synergy,"Schultz, Lisa",Issue 4,article,,2017
1976,Two Pedagogies in Search of Synergy,"Mart, Susan Nevelow",Issue 4,article,,2017
1977,Ask a Director: Skills for New Lawyers,"Andeen, Sarah R.",Issue 4,notes,Leadership,2017
1978,The Ins and Outs of Advocacy,"Etheredge, Stacy",Issue 4,notes,Advocacy,2017
1979,The Ins and Outs of Advocacy,"Jarrett, Peggy Roebuck",Issue 4,notes,Advocacy,2017
1980,The Ins and Outs of Advocacy,"Westwood, Karen",Issue 4,notes,Advocacy,2017
1981,Are Law Libraries Victims of Their Own Success,"Gragg, Phillip",Issue 4,notes,Education,2017
1982,Mental Health and the Role of the Law Librarian,"Anzalone, Filippa Marullo",Issue 4,notes,Advocacy,2017
1983,Mental Health and the Role of the Law Librarian,"Vann, Cameron",Issue 4,notes,Advocacy,2017
1984,Reference Desk: Workplace Rights,"Johnson, Liz McCurry",Issue 4,notes,Business Edge,2017
1985,Reference Desk: Workplace Rights,"Knight, Dolly",Issue 4,notes,Business Edge,2017
1986,Reference Desk: Workplace Rights,"Nash, Maribel",Issue 4,notes,Business Edge,2017
1987,Chasing Technology: Staying ahead of the Legal Curve,"Niedringhaus, Kristina L.",Issue 5,notes,Editor's Note,2017
1988,Whose Disruption Is It Anyway: Finding Balance in the Information & Network Age,"Lambert, Greg",Issue 5,comments,President's Message,2017
1989,What You Need to Know about Cybersecurity,"Donato, Brian",Issue 5,article,,2017
1990,What You Need to Know about Cybersecurity,"Gossmeyer, Michele",Issue 5,article,,2017
1991,What You Need to Know about Cybersecurity,"Moore, Kevin",Issue 5,article,,2017
1992,What You Need to Know about Cybersecurity,"Segger, Jon",Issue 5,article,,2017
1993,Moving from Content Aggregation to Content Intelligence,"Lastres, Steven A.",Issue 5,article,,2017
1994,Who Is This: Moving from Authority Control to Identity Management,"Graham, Suzanne",Issue 5,article,,2017
1995,Who Is This: Moving from Authority Control to Identity Management,"Lee, Dong Joon",Issue 5,article,,2017
1996,Who Is This: Moving from Authority Control to Identity Management,"Radio, Erik",Issue 5,article,,2017
1997,Who Is This: Moving from Authority Control to Identity Management,"Tarver, Hannah",Issue 5,article,,2017
1998,Rethinking Digital Repositories & the Future of Open Access,"Schilt, Margaret",Issue 5,article,,2017
1999,Rethinking Digital Repositories & the Future of Open Access,"Shephard, Karen",Issue 5,article,,2017
2000,Rethinking Digital Repositories & the Future of Open Access,"Watson, Carol",Issue 5,article,,2017
2001,Ask a Director: Safeguarding Privacy & Data,"Armond, David",Issue 5,notes,Leadership,2017
2002,Tech Trends Improving Open Government,"Ahmad, Tariq",Issue 5,notes,Advocacy,2017
2003,Tech Trends Improving Open Government,"Goitom, Hanibal",Issue 5,notes,Advocacy,2017
2004,Tech Trends Improving Open Government,"Weber, Andrew",Issue 5,notes,Advocacy,2017
2005,Seeking New Members: Special Interests Groups Provide Unique Benefits for Law Libraries,"Gordon, Madelaine A.",Issue 5,notes,Advocacy,2017
2006,Reference Desk: Using Tech in Disaster Planning & Management,"Johnson, Liz McCurry",Issue 5,notes,Business Edge,2017
2007,Reference Desk: Using Tech in Disaster Planning & Management,"Knight, Dolly",Issue 5,notes,Business Edge,2017
2008,Reference Desk: Using Tech in Disaster Planning & Management,"Nash, Maribel",Issue 5,notes,Business Edge,2017
2009,Tackling Legal Technology,"Niedringhaus, Kristina L.",Issue 6,notes,Editor's Note,2017
2010,Strategic Planning & Goal Setting,"Lambert, Greg",Issue 6,comments,President's Message,2017
2011,Bottom-up Goal Setting,"Lewis, Sarah",Issue 6,article,,2017
2012,Bottom-up Goal Setting,"Mathapo, Gail",Issue 6,article,,2017
2013,Bottom-up Goal Setting,"Purcell, Rachel",Issue 6,article,,2017
2014,What a Technical Services Librarian Wants Their Library Director to Know,"Briscoe, Georgia",Issue 6,article,,2017
2015,Publishing Basics: How to Get Started & Where to Begin,"Dalton, Shamika",Issue 6,article,,2017
2016,Publishing Basics: How to Get Started & Where to Begin,"Villagran, Michele A. L.",Issue 6,article,,2017
2017,Ask a Director: Developing Soft Skills,"Anders, Kelly Lynn",Issue 6,notes,Leadership,2017
2018,AALL Gallagher Award Celebrates Outstanding Achievement,"Cosby, Michelle",Issue 6,notes,Leadership,2017
2019,Achievements in Legal Literature,"Davey, John H.",Issue 6,notes,Leadership,2017
2020,2018 AALL Hall of Fame,"Knecht, Elaine M.",Issue 6,notes,Leadership,2017
2021,3 Tech-Savvy Ways Law Librarians Can Shake up the Status Quo,"Kroski, Ellyssa",Issue 6,notes,Technology,2017
2022,Reference Desk: Navigating the AALL Annual Meeting,"Johnson, Liz McCurry",Issue 6,notes,Business Edge,2017
2023,Reference Desk: Navigating the AALL Annual Meeting,"Knight, Dolly M.",Issue 6,notes,Business Edge,2017
2024,Reference Desk: Navigating the AALL Annual Meeting,"Nash, Maribel",Issue 6,notes,Business Edge,2017
2025,Adopting Innovation: Where Do You Fall on the Curve,"Niedringhaus, Kristina L.",Issue 1,notes,Editor's Note,2018
2026,Capitalizing on Our Strengths: Demonstrating Our Unique Skills and Expertise,"Cadmus, Femi",Issue 1,comments,President's Message ,2018
2027,Putting Artificial Intelligence to Work in Law Firms,"Walters, Ed",Issue 1,article,,2018
2028,Putting Artificial Intelligence to Work in Law Firms,"Wright, Morgan",Issue 1,article,,2018
2029,Data-Driven Decision Making: Getting Started with Reference Tracking Systems & Data Analytics,"Atchison, Amy",Issue 1,article,,2018
2030,Data-Driven Decision Making: Getting Started with Reference Tracking Systems & Data Analytics,"Liebert, June H.",Issue 1,article,,2018
2031,Let's Teach Our Students Legal Technology: but What Should We Include,"Diamond, Randy J.",Issue 1,article,,2018
2032,Let's Teach Our Students Legal Technology: but What Should We Include,"Fox, Darin",Issue 1,article,,2018
2033,Let's Teach Our Students Legal Technology: but What Should We Include,"Hirsh, Kenneth J.",Issue 1,article,,2018
2034,Let's Teach Our Students Legal Technology: but What Should We Include,"Kuehl, Heidi Frostestad",Issue 1,article,,2018
2035,Let's Teach Our Students Legal Technology: but What Should We Include,"Robak, Michael",Issue 1,article,,2018
2036,Cannabis Law & Lawyering:  Developments in 2018,"Russell, Emilie",Issue 1,article,,2018
2037,Ask a Director,"Lastres, Steven A.",Issue 1,notes,Leadership,2018
2038,Kind of a Big Deal,"Laskowski, Casandra",Issue 1,notes,Advocacy,2018
2039,Reference Desk Tackling New Technology,"Knight, Dolly M. ",Issue 1,notes,Business Edge,2018
2040,Reference Desk Tackling New Technology,"Nash, Maribel",Issue 1,notes,Business Edge,2018
2041,Thriving in the Midst of Change Enter the Resilient and Inventive Librarian,"Cadmus, Femi",Issue 2,comments,President's Message,2018
2042,"Changing Data, Evolving Librarians","Applebaum, Zena",Issue 2,article,,2018
2043,Learning from Crucible Moments to Become Better Crisis Leaders,"Bell, Steven J.",Issue 2,article,,2018
2044,Strategic Planning: Using SWOT or SOAR Analysis to Improve Your Organization,"Cosby, Michelle",Issue 2,article,,2018
2045,Ask A Director Paying for Professional Development,"Sears, Mariann",Issue 2,notes,Leadership,2018
2046,Providing Legal Assistance in Times of Crisis,"Detweiler, Brian",Issue 2,notes,Education,2018
2047,Prefiltering vs. Postfiltering: Which Is the Best Method for Searching,"Rothenberg, Kevin",Issue 2,notes,Technology,2018
2048,Reference Desk Making the Transition,"Knight, Dolly M.",Issue 2,notes,Business Edge,2018
2049,Reference Desk Making the Transition,"Nash, Maribel",Issue 2,notes,Business Edge,2018
2050,Reference Desk Making the Transition,"Vanderlin, Scott",Issue 2,notes,Business Edge,2018
2051,"New Year, New Changes: What Are Your Aspirations","Niedringhaus, Kristina L.",Issue 3,comments,Editor's Note,2018
2052,Forging Ahead with Momentum from Past Accomplishments,"Cadmus, Femi",Issue 3,comments,President's Message,2018
2053,Accessibility,"Olmstead-Rumsey, Emma",Issue 3,notes,Up Front: Trending,2018
2054,Vantage Point,"Joyner, Zanada",Issue 3,notes,Up Front: Member Profile,2018
2055,Shedding Light on Legal Research Accessibility for the Blind,"Seidler, Rena",Issue 3,article,,2018
2056,The Minority Leadership Development Award Effect: Catching up with the First 10 Years of Winners,"Matamoros, Alex Berrio",Issue 3,article,,2018
2057,The Minority Leadership Development Award Effect: Catching up with the First 10 Years of Winners,"Nejdl, Clanitra Stewart",Issue 3,article,,2018
2058,Ask a Director: Making the Library More Accessible,"Shucha, Bonnie",Issue 3,notes,Leadership,2018
2059,Combining Innovation & Technology for Real Change,"Lowry, Katherine M.",Issue 3,notes,Technology: Talking Tech,2018
2060,Should You Volunteer,"Knight, Dolly M.",Issue 3,notes,Business Edge: Reference Desk,2018
2061,Should You Volunteer,"Nash, Maribel",Issue 3,notes,Business Edge: Reference Desk,2018
2062,Should You Volunteer,"Vanderlin, Scott",Issue 3,notes,Business Edge: Reference Desk,2018
2063,Reimagining Education: Becoming a Lifelong Learner,"Niedringhaus, Kristina L.",Issue 4,comments,Editor's Note,2018
2064,Spring into Volunteering: AALL Has Several Opportunities for You to Make Your Mark,"Cadmus, Femi",Issue 4,comments,President's Message,2018
2065,Pedagogical Lessons from Video Games,"Laskowski, Casandra M.",Issue 4,article,,2018
2066,Designing and Implementing Research Competency,"Downing, Nicole",Issue 4,article,,2018
2067,Designing and Implementing Research Competency,"Pal, Anupama",Issue 4,article,,2018
2068,Designing and Implementing Research Competency,"Tarves, Theresa",Issue 4,article,,2018
2069,Developing a Culturally Competent Legal Research Curriculum,"Dalton, Shamika",Issue 4,article,,2018
2070,Developing a Culturally Competent Legal Research Curriculum,"Nejdl, Clanitra Stewart",Issue 4,article,,2018
2071,Tackling Administrative Law Research,"Cheney, Mari",Issue 4,article,,2018
2072,Tackling Administrative Law Research,"Krishnaswami, Julie Graves",Issue 4,article,,2018
2073,Tackling Administrative Law Research,"Sowards, Jason R.",Issue 4,article,,2018
2074,"The GOALI Initiative: Removing the Barriers to Legal Research, Training, and Justice in Developing Countries","Johns, Lora",Issue 4,notes,Education,2018
2075,"The GOALI Initiative: Removing the Barriers to Legal Research, Training, and Justice in Developing Countries","Quinones, Diana",Issue 4,notes,Education,2018
2076,"The GOALI Initiative: Removing the Barriers to Legal Research, Training, and Justice in Developing Countries","Serindag, Yuksel",Issue 4,notes,Education,2018
2077,"The GOALI Initiative: Removing the Barriers to Legal Research, Training, and Justice in Developing Countries","Stein, Stacia",Issue 4,notes,Education,2018
2078,Hosting a Successful Transcription Party,"Almeida, Jessica",Issue 4,notes,Community,2018
2079,Hosting a Successful Transcription Party,"Dyszlewski, Nicole P.",Issue 4,notes,Community,2018
2080,Hosting a Successful Transcription Party,"Hennen, Alisha",Issue 4,notes,Community,2018
2081,Creating a Culture for Innovation,"Brice, Kenton S.",Issue 4,notes,Technology: Talking Tech,2018
2082,The Art of Co-Teaching,"Knight, Dolly M. ",Issue 4,notes,Business Edge: Reference Desk,2018
2083,The Art of Co-Teaching,"Nash, Maribel",Issue 4,notes,Business Edge: Reference Desk,2018
2084,The Art of Co-Teaching,"Vanderlin, Scott",Issue 4,notes,Business Edge: Reference Desk,2018
2085,,"Niedringhaus, Kristina L.",Issue 5,notes,Editor's Note,2018
2086,Championing Legal Information: Appreciating the Impact of AALL's Advocacy Efforts,"Cadmus, Femi",Issue 5,comments,President's Message,2018
2087,From the Treasurer: Looking Back and Moving Forward,"Willis, Jean L.",Issue 5,notes,Up Front: News & Notes,2018
2088,Ask Your Friendly Library Chatbot,"Brammer, Robert",Issue 5,article,,2018
2089,Ask Your Friendly Library Chatbot,"Mehlhorn, Saskia",Issue 5,article,,2018
2090,"The General Data Protection Regulation Is Here, and It's Not Going Anywhere","Dempsey, Shane",Issue 5,article,,2018
2091,Making the Switch to Open Source,"Ward, Keely",Issue 5,article,,2018
2092,Making the Switch to Open Source,"Wood, Morgan",Issue 5,article,,2018
2093,Tackling Technology Competencies,"Brown, Kincaid C.",Issue 5,notes,Leadership: Ask a Director,2018
2094,Tackling Technology Competencies,"Stemlar, Anne",Issue 5,notes,Leadership: Ask a Director,2018
2095,Creating Library Spaces That Work,"Dyer, Lily",Issue 5,notes,Education,2018
2096,Creating Library Spaces That Work,"Harkins, Brian",Issue 5,notes,Education,2018
2097,Creating Library Spaces That Work,"Pal, Anupama",Issue 5,notes,Education,2018
2098,Litigation Analytics: Bringing Experience to New Tools,"Dewey, Michelle Hook",Issue 5,notes,Technology: Talking Tech,2018
2099,Litigation Analytics: Bringing Experience to New Tools,"Flanagan, G. Patrick",Issue 5,notes,Technology: Talking Tech,2018
2100,Securing Buy-in,"Knight, Dolly M.",Issue 5,notes,Business Edge: Reference Desk,2018
2101,Securing Buy-in,"Nash, Maribel",Issue 5,notes,Business Edge: Reference Desk,2018
2102,Securing Buy-in,"Vanderlin, Scott",Issue 5,notes,Business Edge: Reference Desk,2018
2103,"Final Thoughts, New Beginnings","Niedringhaus, Kristina L.",Issue 6,notes,Editor's Note,2018
2104,The Legal Industry Landscape Is Changing Rapidly,"Cadmus, Femi",Issue 6,comments,President's Message,2018
2105,Creating Successful Workplace Transitions,"Alexander, Andrea",Issue 6,article,,2018
2106,The Benefits of Collaborative Purchasing,"Lawless-Collins, Anna",Issue 6,article,,2018
2107,The Benefits of Collaborative Purchasing,"Wight, Katy",Issue 6,article,,2018
2108,Embracing Messiness in the Law Library (without Abandoning the Checklist),"McClure, David",Issue 6,article,,2018
2109,Embracing Messiness in the Law Library (without Abandoning the Checklist),"Steenken, Beau",Issue 6,article,,2018
2110,Ask a Director,"Broskey, Lorelei A.",Issue 6,notes,Leadership,2018
2111,Ask a Director,"Klinefelter, Anne",Issue 6,notes,Leadership,2018
2112,AALL Gallagher Award,"Knecht, Elaine M.",Issue 6,notes,Leadership,2018
2113,Achievements in Legal Literature,"Alayan, Kristina J.",Issue 6,notes,Leadership,2018
2114,2019 AALL Hall of Fame,"Lemann, Catherine",Issue 6,notes,Leadership,2018
2115,Breaking down the Presidental Records Act,"Lamdan, Sarah",Issue 6,notes,Advocacy,2018
2116,Breaking down the Presidental Records Act,"Peros, Janet",Issue 6,notes,Advocacy,2018
2117,"Talking Tech: First Our Books, and Now Our Jobs","DiDomenico, Patrick",Issue 6,notes,Technology,2018
2118,"Talking Tech: First Our Books, and Now Our Jobs","Lee, James",Issue 6,notes,Technology,2018
2119,Reference Desk: The Changing Law Library,"Knight, Dolly M.",Issue 6,notes,Business Edge,2018
2120,Reference Desk: The Changing Law Library,"Nash, Maribel",Issue 6,notes,Business Edge,2018
2121,Reference Desk: The Changing Law Library,"Vanderlin, Scott",Issue 6,notes,Business Edge,2018
2122,Successfully Embracing Change: The Keys Are at Your Fingertips,"Lastres, Steven A.",Issue 1,notes,Editor's Note,2019
2123,Moving Forward: Unveiling Our New Strategic Plan,"Cosby, Michelle",Issue 1,comments,President's Message,2019
2124,Member Profile: Vantage Point,"Dewey, Michelle Hook",Issue 1,notes,Up Front,2019
2125,Data-Driven Legal Services: New Roles for Information Professionals to Make Law Firms More Competitive,"Walters, Ed",Issue 1,article,,2019
2126,Data-Driven Legal Services: New Roles for Information Professionals to Make Law Firms More Competitive,"Lowry, Katherine",Issue 1,article,,2019
2127,The Transformation of the Law Firm: An Overview of the New Normal in Legal Services,"Shenkman, Evan J.",Issue 1,article,,2019
2128,Boost Your Cross-Selling Efforts with Technology & Smart Collaboration,"Kamien, David",Issue 1,article,,2019
2129,Ask a Director: Artificial Intelligence Trends to Watch in the Legal Industry,"Gebauer, Marlene",Issue 1,notes,Leadership,2019
2130,Continuing the Conversation on Diversity & Inclusion,"Dyszlewski, Nicole P.",Issue 1,notes,Community,2019
2131,Continuing the Conversation on Diversity & Inclusion,"Joyner, Zanada",Issue 1,notes,Community,2019
2132,Continuing the Conversation on Diversity & Inclusion,"Laporte, Joshua",Issue 1,notes,Community,2019
2133,Talking Tech: Upgrade Your Legal Tech IQ,"Le, Avery",Issue 1,notes,Technology,2019
2134,Using the Power of Storytelling to Shape Your Institution's Narrative,"de Perio Wittman, Jessica",Issue 1,article,Education,2019
2135,Practical Competitive Intelligence: Breaking down the Basics,"Miles, Kevin",Issue 1,notes,Business Edge,2019
2136,Reference Desk: Co-Worker Conundrum: The Slacker,"Knight, Dolly M.",Issue 1,notes,Business Edge,2019
2137,Reference Desk: Co-Worker Conundrum: The Slacker,"Nash, Maribel",Issue 1,notes,Business Edge,2019
2138,Reference Desk: Co-Worker Conundrum: The Slacker,"Vanderlin, Scott",Issue 1,notes,Business Edge,2019
2139,The Rise of Data-Driven Legal Services,"Lastres, Steven A.",Issue 2,notes,Editor's Note,2019
2140,Using Data to Tell Your Story: Tap into AALL's Resources,"Cosby, Michelle",Issue 2,comments,President's Message,2019
2141,Member Profile: Vantage Point,"Matamoros, Alex Berrio",Issue 2,notes,Up Front,2019
2142,"Inside the Black Box of Search Algorithms: A behind-the-Scenes Look at the Algorithms That Rank Results in Bloomberg Law, Fastcase, Lexis Advance, and Westlaw","Mart, Susan Nevelow",Issue 2,article,,2019
2143,"Inside the Black Box of Search Algorithms: A behind-the-Scenes Look at the Algorithms That Rank Results in Bloomberg Law, Fastcase, Lexis Advance, and Westlaw","Breda, Joe",Issue 2,article,,2019
2144,"Inside the Black Box of Search Algorithms: A behind-the-Scenes Look at the Algorithms That Rank Results in Bloomberg Law, Fastcase, Lexis Advance, and Westlaw","Walters, Ed",Issue 2,article,,2019
2145,"Inside the Black Box of Search Algorithms: A behind-the-Scenes Look at the Algorithms That Rank Results in Bloomberg Law, Fastcase, Lexis Advance, and Westlaw","Sierra, Tito",Issue 2,article,,2019
2146,"Inside the Black Box of Search Algorithms: A behind-the-Scenes Look at the Algorithms That Rank Results in Bloomberg Law, Fastcase, Lexis Advance, and Westlaw","Al-Kofahi, Khalid",Issue 2,article,,2019
2147,The Legal Analytics & Innovation Initiative: GSU College of Law's Cutting-Edge Data Analytics Courses Prepare Law Students for the Legal Jobs of Tomorrow,"Tucker, Anne",Issue 2,article,,2019
2148,The Legal Analytics & Innovation Initiative: GSU College of Law's Cutting-Edge Data Analytics Courses Prepare Law Students for the Legal Jobs of Tomorrow,"Chapman, Ben",Issue 2,article,,2019
2149,Promoting Data Competency in Law Firms: How Law Librarians Can Lead the Charge to Help Firms Master Data Analytics and New Legal Technologies,"Becker, Josh",Issue 2,article,,2019
2150,Law Librarians & the Future of Law Firms,"Furlong, Jordan",Issue 2,article,,2019
2151,"Leader Profile: Volunteer, Initiate Change & Stay Active","Butler, Patrick H.",Issue 2,notes,Leadership,2019
2152,Ask a Director: Shaping Legal Data Analytics,"Stouffer, Christine M.",Issue 2,notes,Leadership,2019
